创金合信基金关于调整官方微信平台认购及申购费率的公告,2016-08-17,证券时报电子报
创金合信鑫动力灵活配置混合型证券投资基金招募说明书,2016-08-19,证券时报电子报
创金合信鑫动力灵活配置混合型证券投资基金基金份额发售公告,2016-08-19,证券时报电子报
创金合信鑫动力灵活配置混合型证券投资基金基金合同摘要,2016-08-19,证券时报电子报
创金合信鑫动力灵活配置混合型证券投资基金招募说明书,2016-08-19,证券时报电子报
创金合信鑫动力灵活配置混合型证券投资基金招募说明书,2016-08-19,证券时报电子报
创金合信鑫动力灵活配置混合型证券投资基金招募说明书,2016-08-19,证券时报电子报
创金合信鑫动力灵活配置混合型证券投资基金基金份额发售公告,2016-08-19,证券时报电子报
创金合信鑫动力灵活配置混合型证券投资基金基金合同摘要,2016-08-19,证券时报电子报
创金合信基金管理有限公司关于创金合信鑫动力灵活配置混合型证券投资基金提前结束募集的公告,2016-08-24,证券时报电子报
创金合信基金管理有限公司旗下部分开放式证券投资基金增加诺亚财富为代销机构的公告,2016-08-24,证券时报电子报
创金合信基金管理有限公司旗下部分开放式证券投资基金增加京东金融为代销机构的公告,2016-08-26,证券时报电子报
创金合信量化多因子股票型证券投资基金招募说明书（更新）摘要,2016-08-30,证券时报电子报
创金合信鑫动力灵活配置混合型证券投资基金基金合同生效公告,2016-08-31,证券时报电子报
创金合信基金管理有限公司公告（系列）,2016-09-06,证券时报电子报
创金合信鑫动力灵活配置混合型证券投资基金基金经理变更公告,2016-09-07,证券时报电子报
创金合信基金管理有限公司关于旗下基金增加定期定额投资业务代销机构的公告,2016-09-13,证券时报电子报
创金合信货币市场基金中秋节前暂停申购公告,2016-09-13,证券时报电子报
创金合信鑫动力灵活配置混合型证券投资基金基金经理变更公告,2016-09-21,证券时报电子报
创金合信基金管理有限公司公告（系列）,2016-09-23,证券时报电子报
创金合信基金管理有限公司旗下部分开放式证券投资基金增加大智慧财富为代销机构的公告,2016-10-18,证券时报电子报
创金合信基金管理有限公司旗下部分开放式证券投资基金增加上海基煜基金销售有限公司为代销机构的公告,2016-10-20,证券时报电子报
创金合信基金管理有限公司旗下部分开放式证券投资基金增加代销机构的公告,2016-10-20,证券时报电子报
创金合信货币市场基金2016第三季度报告,2016-10-24,证券时报电子报
创金合信鑫安保本混合型证券投资基金2016第三季度报告,2016-10-24,证券时报电子报
