 创金合信鑫优选灵活配置混合型证券投资基金招募说明书,2015-11-14,证券日报电子报
 创金合信鑫优选灵活配置混合型证券投资基金基金份额发售公告（下转C26版）,2015-11-14,证券日报电子报
 （上接C25版）创金合信鑫优选灵活配置混合型证券投资基金基金份额发售公告（下转C27版）,2015-11-14,证券日报电子报
 （上接C26版）创金合信鑫优选灵活配置混合型证券投资基金基金份额发售公告（下转C28版）,2015-11-14,证券日报电子报
 创金合信基金管理有限公司创金合信鑫优选灵活配置混合型证券投资基金基金合同摘要,2015-11-14,证券日报电子报
 创金合信鑫优选灵活配置混合型证券投资基金基金份额发售公告（上接C27版）,2015-11-14,证券日报电子报
 创金合信基金管理有限公司关于创金合信鑫优选灵活配置混合型证券投资基金提前结束募集的公告,2015-11-18,证券日报电子报
 创金合信鑫优选灵活配置混合型证券投资基金基金合同生效公告,2015-11-20,证券日报电子报
 创金合信基金管理有限公司关于增加浙江同花顺基金销售有限公司,2015-11-25,证券日报电子报
 创金合信鑫优选灵活配置混合型证券投资基金基金经理变更公告,2015-11-27,证券日报电子报
 创金合信中证500指数增强型发起式证券投资基金招募说明书(下转C58版),2015-12-26,证券日报电子报
 (上接C57版)创金合信中证500指数增强型发起式证券投资基金招募说明书(下转C59版),2015-12-26,证券日报电子报
 (上接C58版)创金合信中证500指数增强型发起式证券投资基金招募说明书(下转C60版),2015-12-26,证券日报电子报
 创金合信中证500指数增强型发起式证券投资基金基金份额发售公告,2015-12-26,证券日报电子报
 创金合信中证500指数增强型发起式证券投资基金招募说明书(上接C59版),2015-12-26,证券日报电子报
 关于运用固有资金作为发起资金认购创金合信,2015-12-26,证券日报电子报
 创金合信沪深300指数增强型发起式证券投资基金招募说明书（下转C62版）,2015-12-26,证券日报电子报
 关于运用固有资金作为发起资金认购创金合信,2015-12-26,证券日报电子报
 （上接C61版）创金合信沪深300指数增强型发起式证券投资基金招募说明书（下转C63版）,2015-12-26,证券日报电子报
 创金合信沪深300指数增强型发起式证券投资基金招募说明书（上接C62版）,2015-12-26,证券日报电子报
 创金合信基金管理有限公司创金合信沪深300指数增强型发起式证券投资基金基金合同摘要,2015-12-26,证券日报电子报
 创金合信沪深300指数增强型发起式证券投资基金基金份额发售公告,2015-12-26,证券日报电子报
 创金合信基金管理有限公司,2015-12-29,证券日报电子报
 创金合信鑫优选灵活配置混合型证券投资基金开放日常申购、赎回和定期定额投资业务公告,2015-12-29,证券日报电子报
 关于指数熔断机制实施后对创金合信基金管理有限公司旗下公募基金业务规则影响的公告,2015-12-31,证券日报电子报
 创金合信沪深300指数增强型发起式证券投资基金基金合同生效公告,2016-01-04,证券日报电子报
 创金合信中证500指数增强型发起式证券投资基金基金合同生效公告,2016-01-04,证券日报电子报
 创金合信沪深300指数,2016-01-09,证券日报电子报
 创金合信中证500指数,2016-01-09,证券日报电子报
 创金合信基金管理有限公司关于创金合信沪深300指数增强型发起式证券投资基金、创金合信中证,2016-01-22,证券日报电子报
 创金合信沪深300指数增强型发起式证券投资基金开放日常申购、赎回和定期定额投资业务公告,2016-01-23,证券日报电子报
 创金合信中证500指数增强型发起式证券投资基金开放日常申购、赎回和定期定额投资业务公告,2016-01-23,证券日报电子报
 创金合信尊享纯债债券型证券投资基金招募说明书（下转C46版）,2016-01-30,证券日报电子报
 （上接C45版）创金合信尊享纯债债券型证券投资基金招募说明书（下转C47版）,2016-01-30,证券日报电子报
 创金合信尊享纯债债券型证券投资基金招募说明书（上接C46版）,2016-01-30,证券日报电子报
 创金合信基金管理有限公司创金合信尊享纯债债券型证券投资基金基金合同摘要,2016-01-30,证券日报电子报
 创金合信尊享纯债债券型证券投资基金基金份额发售公告,2016-01-30,证券日报电子报
 创金合信基金管理有限公司关于创金合信,2016-03-05,证券日报电子报
 创金合信尊享纯债债券型证券投资基金基金合同生效公告,2016-03-12,证券日报电子报
 创金合信基金管理有限公司,2016-03-30,证券日报电子报
 创金合信尊享纯债债券型证券投资基金开放日常申购、赎回和定期定额投资业务公告,2016-04-12,证券日报电子报
 创金合信基金王一兵：“不踩雷”是债券投资规避风险的第一要素,2016-04-15,证券日报电子报
 创金合信尊享纯债债券型证券投资基金暂停大额申购公告,2016-04-19,证券日报电子报
 创金合信基金管理有限公司关于旗下部分基金增加代销机构的公告,2016-04-20,证券日报电子报
 创金合信沪深300指数增强型发起式证券投资基金,2016-04-22,证券日报电子报
 创金合信鑫优选灵活配置混合型证券投资基金,2016-04-22,证券日报电子报
 创金合信中证500指数增强型发起式证券投资基金,2016-04-22,证券日报电子报
 创金合信基金管理有限公司,2016-06-02,证券日报电子报
 创金合信尊享纯债债券型证券投资基金分红公告,2016-06-23,证券日报电子报
 创金合信基金管理有限公司关于旗下基金开展微信直销平台认购费率优惠活动的公告,2016-06-24,证券日报电子报
 创金合信基金管理有限公司,2016-06-29,证券日报电子报
 创金合信鑫优选灵活配置混合型证券投资基金招募说明书（更新）摘要(下转D44版),2016-06-30,证券日报电子报
 创金合信鑫优选灵活配置混合型证券投资基金招募说明书（更新）摘要(上接Ｄ42版),2016-06-30,证券日报电子报
 创金合信尊享纯债债券型证券投资基金,2016-07-20,证券日报电子报
 创金合信中证500指数增强型发起式证券投资基金,2016-07-20,证券日报电子报
 创金合信鑫优选灵活配置混合型证券投资基金,2016-07-20,证券日报电子报
 创金合信沪深300指数增强型发起式证券投资基金,2016-07-20,证券日报电子报
 创金合信基金管理有限公司,2016-07-28,证券日报电子报
 创金合信基金管理有限公司,2016-07-28,证券日报电子报
